route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
37,212895694,108825261212895694,"BOCKSTAEL",0,8496249,089b0076
37,212895694,108825262212895694,"BOCKSTAEL",0,8496255,089b0076
37,212895694,108825263212895694,"BOCKSTAEL",0,8496258,089b0076
37,212895694,108825264212895694,"BOCKSTAEL",0,8496257,089b0076
37,212895694,108825265212895694,"BOCKSTAEL",0,8496254,089b0076
37,212895694,108825266212895694,"BOCKSTAEL",0,8496266,089b0076
37,212895694,108825267212895694,"BOCKSTAEL",0,8496252,089b0076
37,212895694,108825268212895694,"BOCKSTAEL",0,8496263,089b0076
37,212895694,108825269212895694,"BOCKSTAEL",0,8496248,089b0076
37,212895694,108825270212895694,"BOCKSTAEL",0,8496264,089b0076
37,212895694,108825271212895694,"BOCKSTAEL",0,8496250,089b0076
37,212895694,108825272212895694,"BOCKSTAEL",0,8496265,089b0076
37,212895694,108825273212895694,"BOCKSTAEL",0,8496262,089b0076
37,212895694,108825274212895694,"BOCKSTAEL",0,8496249,089b0076
37,212895694,108825275212895694,"BOCKSTAEL",0,8496251,089b0076
37,212895694,108825276212895694,"BOCKSTAEL",0,8496258,089b0076
37,212895694,108825277212895694,"BOCKSTAEL",0,8496257,089b0076
37,212895694,108825278212895694,"BOCKSTAEL",0,8496253,089b0076
37,212895694,108825279212895694,"BOCKSTAEL",0,8496266,089b0076
37,212895694,108825280212895694,"BOCKSTAEL",0,8496244,089b0076
37,212895694,108825281212895694,"BOCKSTAEL",0,8496263,089b0076
37,212895694,108825282212895694,"BOCKSTAEL",0,8496259,089b0076
37,212895694,108825283212895694,"BOCKSTAEL",0,8496264,089b0076
37,212895694,108825284212895694,"BOCKSTAEL",0,8496250,089b0076
37,212895694,108825285212895694,"BOCKSTAEL",0,8496262,089b0076
37,212895694,108825286212895694,"BOCKSTAEL",0,8496249,089b0076
37,212895694,108825287212895694,"BOCKSTAEL",0,8496251,089b0076
37,212895694,108825288212895694,"BOCKSTAEL",0,8496258,089b0076
37,212895694,108825289212895694,"BOCKSTAEL",0,8496260,089b0076
37,212895694,108825290212895694,"BOCKSTAEL",0,8496253,089b0076
38,212895694,108825379212895694,"HOP. BRUGMANN (VIA PRINCE LEOPOLD)",1,8496255,193b0047
38,212895694,108825380212895694,"HOP. BRUGMANN (VIA PRINCE LEOPOLD)",1,8496293,193b0047
35,212895694,108825585212895694,"SIMONIS",1,8496362,087b0032
35,212895694,108825586212895694,"SIMONIS",1,8496359,087b0032
35,212895694,108825587212895694,"BEEKKANT",0,8496362,087b0135
35,212895694,108825588212895694,"JOSEPH BAECK -> GARE DE L'OUEST",0,8496369,087b0136
35,212895694,108825589212895694,"JOSEPH BAECK -> GARE DE L'OUEST",0,8496370,087b0136
35,212895694,108825590212895694,"SIMONIS",1,8496369,087b0032
35,212895694,108825591212895694,"BEEKKANT",0,8496368,087b0135
35,212895694,108825592212895694,"SIMONIS",1,8496370,087b0032
35,212895694,108825593212895694,"BEEKKANT",0,8496366,087b0135
35,212895694,108825594212895694,"BEEKKANT",0,8496369,087b0135
35,212895694,108825595212895694,"BEEKKANT",0,8496370,087b0135
35,212895694,108825596212895694,"SIMONIS",1,8496368,087b0032
35,212895694,108825597212895694,"SIMONIS",1,8496366,087b0032
35,212895694,108825598212895694,"BEEKKANT",0,8496368,087b0135
35,212895694,108825599212895694,"SIMONIS",1,8496369,087b0032
